Experiment,Level,Instance,Seed,N,NumTrucks_Set,NumDirectDrones_Set,NumCarDrones_Set,TruckSpeed_Set,DroneSpeed_Set,Cost,Time,Penalty,TruckService_Count,DirectService_Count,CarService_Count,AirService_Count,ActiveTruck_Count,ActiveDirect_Count,ActiveCar_Count,Runtime_s
TruckCount,T=10,r101.txt,4223,100,10,5,1,10.0,20.0,183.19577173218948,1480.0,0.0,83,8,9,17,10,2,4,36.90014934539795
TruckCount,T=10,r101.txt,4224,100,10,5,1,10.0,20.0,181.87093606438407,1660.0,0.0,83,8,9,17,10,2,3,36.31007766723633
TruckCount,T=10,r101.txt,4225,100,10,5,1,10.0,20.0,171.83982200382766,1620.0,0.0,78,12,10,22,9,3,4,37.71807646751404
TruckCount,T=10,r101.txt,4226,100,10,5,1,10.0,20.0,179.9830928138432,1580.0,0.0,83,10,7,17,10,3,2,37.13087272644043
TruckCount,T=10,r101.txt,4227,100,10,5,1,10.0,20.0,172.07121601024454,1610.0,0.0,81,11,8,19,9,2,5,32.50018668174744
TruckCount,T=10,r101.txt,4228,100,10,5,1,10.0,20.0,184.2252168558419,1890.0,0.0,82,10,8,18,10,3,3,38.28644895553589
TruckCount,T=10,r101.txt,4229,100,10,5,1,10.0,20.0,191.86854968203733,1770.0,0.0,83,10,7,17,10,4,4,38.673455476760864
TruckCount,T=10,r101.txt,4230,100,10,5,1,10.0,20.0,183.45137251079151,1730.0,0.0,84,11,5,16,10,2,3,36.752508878707886
TruckCount,T=12,r101.txt,4201,100,12,5,1,10.0,20.0,209.5438250247146,1330.0,0.0,84,11,5,16,12,3,2,32.79291582107544
TruckCount,T=12,r101.txt,4202,100,12,5,1,10.0,20.0,192.896465888947,1540.0,0.0,89,3,8,11,11,1,3,33.42444968223572
TruckCount,T=12,r101.txt,4203,100,12,5,1,10.0,20.0,215.58354353619188,1620.0,0.0,85,5,10,15,12,2,4,33.748051166534424
TruckCount,T=12,r101.txt,4204,100,12,5,1,10.0,20.0,209.20796446711807,1480.0,0.0,86,5,9,14,12,2,3,31.11696767807007
TruckCount,T=12,r101.txt,4205,100,12,5,1,10.0,20.0,207.1465478168315,1490.0,0.0,87,10,3,13,12,2,2,29.713698863983154
TruckCount,T=12,r101.txt,4206,100,12,5,1,10.0,20.0,206.69413206480527,1730.0,0.0,90,4,6,10,12,1,3,33.19038987159729
TruckCount,T=12,r101.txt,4207,100,12,5,1,10.0,20.0,194.84374297498684,1600.0,0.0,90,4,6,10,11,3,2,32.10761475563049
TruckCount,T=12,r101.txt,4208,100,12,5,1,10.0,20.0,204.9084130655918,1590.0,0.0,91,6,3,9,12,2,1,36.239956855773926
TruckCount,T=12,r101.txt,4209,100,12,5,1,10.0,20.0,210.57404056215228,1720.0,0.0,92,4,4,8,12,3,2,32.576544761657715
TruckCount,T=12,r101.txt,4210,100,12,5,1,10.0,20.0,197.15939965642485,1580.0,0.0,86,6,8,14,11,3,3,34.11461901664734
TruckCount,T=12,r101.txt,4211,100,12,5,1,10.0,20.0,197.57900533039813,1510.0,0.0,84,8,8,16,11,3,3,31.93049120903015
TruckCount,T=12,r101.txt,4212,100,12,5,1,10.0,20.0,196.5894975697932,1640.0,0.0,83,11,6,17,11,3,2,32.081862449646
TruckCount,T=12,r101.txt,4213,100,12,5,1,10.0,20.0,191.72605901923745,1800.0,0.0,88,5,7,12,11,1,3,31.693572759628296
TruckCount,T=12,r101.txt,4214,100,12,5,1,10.0,20.0,194.07119297214905,1540.0,0.0,88,2,10,12,11,1,3,32.46145725250244
TruckCount,T=12,r101.txt,4215,100,12,5,1,10.0,20.0,209.2000811463828,1580.0,0.0,87,6,7,13,12,2,3,31.854417085647583
TruckCount,T=12,r101.txt,4216,100,12,5,1,10.0,20.0,194.59685810688703,1420.0,0.0,86,9,5,14,11,3,2,33.3176486492157
TruckCount,T=12,r101.txt,4217,100,12,5,1,10.0,20.0,212.87473664338287,1540.0,0.0,88,3,9,12,12,2,4,31.45549988746643
TruckCount,T=12,r101.txt,4218,100,12,5,1,10.0,20.0,196.4461768728912,1490.0,0.0,83,5,12,17,11,1,4,32.022348165512085
TruckCount,T=12,r101.txt,4219,100,12,5,1,10.0,20.0,213.76256070778683,1520.0,0.0,86,5,9,14,12,2,4,31.297935247421265
TruckCount,T=12,r101.txt,4220,100,12,5,1,10.0,20.0,210.5524583365409,1580.0,0.0,88,4,8,12,12,2,3,30.91870379447937
TruckCount,T=12,r101.txt,4221,100,12,5,1,10.0,20.0,208.33335177672728,1710.0,0.0,89,4,7,11,12,1,3,32.27369451522827
TruckCount,T=12,r101.txt,4222,100,12,5,1,10.0,20.0,196.7264225036309,1540.0,0.0,88,10,2,12,11,3,2,33.238677978515625
TruckCount,T=12,r101.txt,4223,100,12,5,1,10.0,20.0,215.0094535892185,1330.0,0.0,82,9,9,18,12,4,3,34.75989651679993
TruckCount,T=12,r101.txt,4224,100,12,5,1,10.0,20.0,209.4697505321,1540.0,0.0,87,3,10,13,12,1,4,32.69705605506897
TruckCount,T=12,r101.txt,4225,100,12,5,1,10.0,20.0,211.51908929031345,1540.0,0.0,86,11,3,14,12,3,2,33.04773688316345
