N,Run,Algorithm,Version,FrontType,PenaltyCap,Pareto_Count,HV,RunTime_s,Conv_Gen,Cost_Min,Cost_Mean,Cost_Max,Time_Min,Time_Mean,Time_Max,Pen_Min,Pen_Mean,Pen_Max,TruckService_Avg,DirectService_Avg,CarService_Avg,AirService_Avg,ActiveTruck_Avg,ActiveDirect_Avg,ActiveCar_Avg,PureTruck_Ratio,ZeroPenalty_Count,ZeroPenalty_Ratio,ZeroPenaltyTime_Best,ZeroPenaltyCost_Best
100,4212,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,8,4283450808219.178,8.395397,100,116.068493,138.481164,176.616438,1530.0,1747.5,2050.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,8.5,0.0,0.0,1.0,8,1.0,1530.0,116.068493
100,4213,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,24,4314442497758.941,9.104599,100,109.465753,145.134819,209.356164,1520.0,1927.916667,3330.0,0.0,12.083333,60.0,99.791667,0.0,0.208333,0.208333,8.833333,0.0,0.166667,0.875,13,0.541667,1520.0,118.369863
100,4214,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,16,4344943247165.296,8.900979,100,103.438356,121.392467,163.287671,1520.0,2181.875,3080.0,0.0,17.5,70.0,99.6875,0.1875,0.125,0.3125,7.1875,0.1875,0.125,0.6875,12,0.75,1520.0,103.438356
100,4215,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,14,4347900282497.762,7.797708,100,102.534247,128.288234,161.39726,1530.0,1891.428571,2650.0,0.0,0.714286,10.0,99.714286,0.0,0.285714,0.285714,7.785714,0.0,0.214286,0.785714,13,0.928571,1530.0,102.534247
100,4216,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,23,4356924058708.539,7.895463,100,100.890411,134.781517,194.082192,1520.0,1900.0,2480.0,0.0,3.043478,10.0,99.608696,0.043478,0.347826,0.391304,8.26087,0.043478,0.26087,0.695652,16,0.695652,1520.0,101.712329
100,4217,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,9,4246249229536.928,9.67123,100,123.835616,143.62803,176.452055,1520.0,2150.0,3970.0,0.0,16.666667,100.0,99.888889,0.111111,0.0,0.111111,8.666667,0.111111,0.0,0.888889,6,0.666667,1520.0,129.972603
100,4218,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,20,4315800677196.385,8.447187,100,109.24211,133.984476,192.205479,1520.0,2159.5,2620.0,0.0,17.0,70.0,98.8,0.55,0.65,1.2,7.9,0.4,0.55,0.45,12,0.6,1520.0,123.227709
100,4219,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,14,4264982735920.6313,7.119789,100,119.857846,154.746206,194.616438,1520.0,1735.0,2900.0,0.0,0.0,0.0,99.285714,0.0,0.714286,0.714286,9.571429,0.0,0.642857,0.428571,14,1.0,1520.0,119.857846
100,4220,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,12,4275206738943.888,9.459763,100,117.630137,149.982942,190.273973,1530.0,1761.666667,2400.0,0.0,0.0,0.0,99.833333,0.083333,0.083333,0.166667,9.25,0.083333,0.083333,0.833333,12,1.0,1530.0,117.630137
100,4221,KMeans-init-NSGA2,v29_hpp_cost_front_boost_fast,REPORT,100.0,16,4351198668839.412,11.171618,100,102.041096,154.200384,191.013699,1520.0,1667.5,2180.0,0.0,0.625,10.0,99.875,0.0625,0.0625,0.125,9.5,0.0625,0.0625,0.875,15,0.9375,1520.0,102.041096
